time,open,high,low,close,volume
2025-04-01,64.7,65.3,64.0,64.5,1715200
2025-04-02,65.0,66.0,64.6,64.8,2330700
2025-04-03,64.0,64.4,60.3,60.3,9806100
2025-04-04,56.7,60.0,56.2,60.0,11887700
2025-04-08,59.8,59.8,55.8,55.8,7181200
2025-04-09,52.0,59.7,52.0,52.5,8995800
2025-04-10,56.1,56.1,56.1,56.1,174400
2025-04-11,59.8,59.9,58.0,59.8,8059500
2025-04-14,60.0,60.0,58.7,59.3,3619500
2025-04-15,59.1,60.9,58.3,60.0,5633100
2025-04-16,59.7,60.3,59.0,59.3,2625800
2025-04-17,59.3,59.3,58.1,58.1,3151800
2025-04-18,58.7,59.6,58.1,58.1,2165400
2025-04-21,58.5,58.9,58.1,58.2,1290500
2025-04-22,58.1,58.8,54.7,58.5,3850700
2025-04-23,59.4,59.4,58.0,58.0,1928700
2025-04-24,58.2,58.6,58.0,58.2,1861200
2025-04-25,58.2,59.0,57.5,57.5,3682000
2025-04-28,57.7,58.3,57.5,57.5,1654600
2025-04-29,57.7,58.5,57.3,57.3,2432200
2025-05-05,57.5,58.0,57.0,57.1,2101500
2025-05-06,57.3,58.0,57.0,57.0,2992900
2025-05-07,57.1,57.5,57.0,57.0,2415400
2025-05-08,57.4,57.7,56.9,57.1,3022300
2025-05-09,57.3,57.6,56.6,56.6,5827400
